"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name" "COI" "12S" "16S" "cytb"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Barathronus" "Barathronus multidens" 0 0 1 0
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Barathronus" "Barathronus parfaiti" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Barathronus" "Barathronus unicolor" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Platytroctidae" "Barbantus" "Barbantus curvifrons" 6 0 0 0
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Nemacheilidae" "Barbatula" "Barbatula barbatula" 122 8 12 352
"Animalia" "Chordata" "Actinopteri" "Beryciformes" "Barbourisiidae" "Barbourisia" "Barbourisia rufa" 7 5 4 2
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Cyprinidae" "Barbus" "Barbus barbus" 117 5 5 96
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Ophichthidae" "Bascanichthys" "Bascanichthys ceciliae" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Bassozetus" "Bassozetus oncerocephalus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Bassozetus" "Bassozetus taenia" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus brevis" 2 1 1 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus digitatus" 3 0 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus longipinnis" 3 1 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus nigerrimus" 0 1 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus pawneei" 11 1 0 0
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Bathophilus" "Bathophilus vaillanti" 2 1 0 0
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Congridae" "Bathycongrus" "Bathycongrus bertini" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Macrouridae" "Bathygadus" "Bathygadus favosus" 0 1 1 0
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Macrouridae" "Bathygadus" "Bathygadus macrops" 0 1 1 0
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Macrouridae" "Bathygadus" "Bathygadus melanobranchus" 1 1 2 0
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Bathygobius" "Bathygobius casamancus" 2 0 0 0
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Bathygobius" "Bathygobius soporator" 164 2 1 112
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bathylaco" "Bathylaco nigricans" 3 2 1 1
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Bathylagidae" "Bathylagichthys" "Bathylagichthys greyae" 6 1 0 0
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Bathylagidae" "Bathylagoides" "Bathylagoides argyrogaster" 1 0 0 0
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Bathylagidae" "Bathylagus" "Bathylagus euryops" 11 2 1 0
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathymicrops" "Bathymicrops regis" 2 0 0 0
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Bathyonus" "Bathyonus laticeps" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bathyprion" "Bathyprion danae" 2 3 2 2
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois dubius" 1 1 1 0
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois grallator" 3 0 0 0
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois longipes" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois phenax" 2 0 0 0
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois quadrifilis" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Ipnopidae" "Bathypterois" "Bathypterois viridensis" 0 0 0 0
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Arhynchobatidae" "Bathyraja" "Bathyraja hesperafricana" 0 0 0 0
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Arhynchobatidae" "Bathyraja" "Bathyraja richardsoni" 5 2 2 3
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Arhynchobatidae" "Bathyraja" "Bathyraja spinicauda" 40 1 1 2
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Bathysauridae" "Bathysaurus" "Bathysaurus ferox" 9 2 1 1
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Bathysauridae" "Bathysaurus" "Bathysaurus mollis" 0 1 0 0
